stnreg_stnid	Stnreg	Platform type
BPSH35	K27 / NASTENSÖ	BTL
BPSH37	K28 / TJÄRÖ	BTL
GBSH06	K283	BTL
GBSH07	K286	BTL
GBSH08	K288	BTL
BPSH38	K29 / SV LINDESKÄR	BTL
GBSH09	K293	BTL
BPSH36	K30 / TJÄRNÖ HAMN	BTL
GBSL01	K330 / A	BTL
GBSL02	K333	BTL
GBSL03	K336 / G	BTL
GBSL04	K337 / H	BTL
GBSL05	K338 / I	BTL
GBSL06	K350 / SM	BTL
GBSL07	K382 / M	BTL
GBSL08	K384 / O	BTL
GBSL09	K387 / R	BTL
GBSL10	K390 / U	BTL
BPWK04	K3-V	BTL
GBSG51	K506	BTL
GBSG52	K508	BTL
GBSG53	K509	BTL
GBSG54	K525	BTL
BPSH33	K6 / S KASEN	BTL
GBSG61	K619	BTL
GBSG62	K627	BTL
GBSG63	K630	BTL
GBSG64	K643	BTL
GBSG65	K650	BTL
GBSG66	K655	BTL
BPSH34	K7 / KARLSHAMNSFJÄRDEN	BTL
KANI90	KA 4	BTL
GBBK04	KA12 / LÅNGÖREN	BTL
GBBK01	KA15 / VALLSUNDET	BTL
GBBK05	KA16 / YTTERSTLANDET	BTL
GBBK02	KA2 / BÅTÖREN	BTL
GBBK03	KA7 / KVARNÖREN	BTL
BPSH42	KAARV4 / NO ASPÖ	BTL
FIBO44	KALVÖFJORD	BTL
BPNS60	KANHOLMSFJÄRDEN	BTL
BPSH53	KARLSHAMN	BTL
BPSH52	KARLSKRONA	BTL
FIBO62	KATTEN	BTL
BSKX20	KIELER BUCHT	BTL
BPWG01	KL12 KLINTEHAMN	BTL
BPWK46	KL8 / KRISTIANOPEL	BTL
FIBK33	KLÖVNINGARNA	BTL
FIBK15	KLÖVNINGARNA-1	BTL
FIBK16	KLÖVNINGARNA-4	BTL
FIBO42	KOLJÖFJORD	BTL
FIBO64	KOLLHOLM	BTL
KANI11	KORNHALL	BTL
FIBK40	KOSTERFJORDEN (NR16)	BTL
FIBK17	KOSTERRÄNNAN-III	BTL
BPNS47	KOVIKSUDDE	BTL
KAEX33	KULLEN	BTL
KAEX91	KULLEN-1	BTL
KAEX93	KULLEN-3	BTL
BPWX55	KUNGSGRUNDET	BTL
GBBA01	KÅGE 2	BTL
GBBA02	KÅGE 3	BTL
KANI84	KÄLLÖFJORD	BTL
KANX26	L:A MIDDELGRUND	BTL
BPSH29	L1	BTL
GBBL01	L1 / GRÄSÖRENBRON	BTL
BPSH30	L12 / FALKVIK	BTL
BPSH45	L2	BTL
GBBL02	L2 / HARRBÄCKSVIKEN	BTL
KAEL73	L-3	BTL
GBBL03	L3 / LÖVSKÄR	BTL
KAEL74	L-4	BTL
GBBL04	L4 / SANDÖFJÄRDEN	BTL
KAEL51	L4/A3 LAHOLMSBUKTEN	BTL
GBBL05	L5 / GRÅSJÄLFJÄRDEN	BTL
KAEL60	L9 LAHOLMSBUKTEN	BTL
KAEL61	LAHOLM-1	BTL
KAEL62	LAHOLM-2	BTL
KAEL63	LAHOLM-3 (YG)	BTL
KAEX64	LAHOLM-4	BTL
KAEX65	LAHOLM-5	BTL
BPNS55	LANDSNORA	BTL
BSGX15	LANGELANDS BELT	BTL
KANX19	LASO-E (SEAWATCH BUOY)	BTL
GFXX32	LL11A	BTL
BPNX60	LL12	BTL
GFXX26	LL3A	BTL
GFXX27	LL4A	BTL
KAEL72	LX	BTL
GBSC02	LÅNGSANDSÖRARNA / B2	BTL
KANX09	LÄSÖ RÄNNA	BTL
BPWK08	M1-V	BTL
BPWK20	M2-V	BTL
BPWK07	M3-V	BTL
BPWK21	M4-V	BTL
BPWK22	M5-V	BTL
SKNX21	M6	BTL
BPWK23	M6-V	BTL
BPWK24	M7-V	BTL
FIBB63	MALMÖ DRAG	BTL
KANI92	MARIEHOLM	BTL
FIBO55	MARSTRANDSFJORDEN	BTL
BPWK11	MB1-VMS	BTL
BPWK09	MB210-VMSF	BTL
BPWK10	MB24-V	BTL
BPWK12	MB2-V	BTL
BSMX20	MECKLENBURGER BUCHT	BTL
GBSF12	MS1	BTL
GBSX21	MS10	BTL
GBSX13	MS2	BTL
GBSX14	MS3	BTL
GBSX15	MS4 / C14	BTL
GBSX16	MS5	BTL
GBSX17	MS6	BTL
GBSX18	MS7	BTL
GBSX19	MS8	BTL
GBSX20	MS9	BTL
FIBX42	MUSÖN	BTL
SKEX21	MÅSESKÄR W (BUOY)	BTL
KANI87	MÅVHOLMEN	BTL
KANX49	N13 VÄRÖ	BTL
KANX50	N14 FALKENBERG	BTL
KAEX28	N15 HALMSTAD	BTL
KANI50	N5 KUNGSBACKAFJORDEN	BTL
KANI51	N6 KUNGSBACKAFJORDEN	BTL
KANI52	N7 OST NIDINGEN	BTL
GBSX58	NB1 / B3	BTL
GBQU01	NEDSTRÖMS SCA	BTL
GBQU02	NF1	BTL
GBQU10	NF13	BTL
GBQU03	NF2	BTL
BPNE21	NO01 / ARKÖSUND	BTL
BPNE22	NO03 / RIMMÖFJÄRDEN	BTL
FIBK32	NORD-HÄLLSÖ	BTL
KANI81	NORDRE ÄLVS FJORD	BTL
GBSX53	NS1	BTL
GBSX54	NS2	BTL
GBSX55	NS3	BTL
GBSX56	NS4	BTL
GBSX57	NS5 / F25A	BTL
GBSF58	NS6	BTL
BPSH40	NY / NV ASPÖ	BTL
GBQU04	NYA OBBOLABRON	BTL
KANI97	NYA VARVET	BTL
BPEX15	NÄR-I	BTL
BPEX16	NÄR-II	BTL
BPEX17	NÄR-III	BTL
BPWK14	O1-V	BTL
SKNX55	OH1	BTL
SKSX64	OH10	BTL
SKSX65	OH11	BTL
SKSX99	OH12	BTL
SKNX56	OH2	BTL
SKNX57	OH3	BTL
SKNX58	OH4	BTL
SKNX59	OH5	BTL
SKSX60	OH6	BTL
SKSX61	OH7	BTL
SKSX62	OH8	BTL
SKSX63	OH9	BTL
BPWK15	OKG1-V	BTL
GBSY13	OMNE 1	BTL
GBSY14	OMNE 2	BTL
GBSY15	OMNE 3	BTL
GBSY16	OMNE 4	BTL
GBSY17	OMNE 5	BTL
FIBG25	ORMESTAD	BTL
